ChineseEnglish,ChineseJapaneseEnglish,ChineseGermanEnglish,ChineseTurkishEnglish,ChineseRussianEnglish,ChineseJapaneseGermanEnglish,ChineseGermanJapaneseEnglish
"By the end of June 1981, Deng Xiaoping had held two important positions: Chairman of the Central Military Commission and Vice Chairman of the Central Committee of the Communist Party of China.","By the end of June 1981, Deng Xiaoping held two important positions: Chairman of the Central Military Commission and Vice Chairman of the Central Committee of the Communist Party of China.","By the end of June 1981, Deng Xiaoping already held two important positions: the chairmanship of the Central Military Commission and the vice chairmanship of the Central Committee of the Communist Party of China.","By the end of June 1981, Deng Xiaoping had taken on two significant roles: both the Chairman of the Central Military Commission and the Vice Chairman of the Central Committee of the Communist Party of China.","By the end of June 1981, Deng Xiaoping held two important positions: Chairman of the Central Military Commission and Vice Chairman of the Central Committee of the Communist Party of China.","By the end of June 1981, Deng Xiaoping held two important positions: the chairmanship of the Central Military Commission and the vice chairmanship of the Communist Party of China.","By the end of June 1981, Deng Xiaoping had already assumed two important positions: Chairman of the Central Military Commission and Vice Chairman of the Central Committee of the Communist Party of China."
"However, he never became the President of the country throughout his life. Regarding this issue, he gave an interesting answer during a later meeting with the founder of Hong Kong's Ming Pao, Cha Liangyong (Jin Yong).","However, he never assumed the position of Chairman of the State throughout his life. Regarding this issue, he later gave an interesting answer during a discussion with Cha Liangyong (Jin Yong), the founder of Hong Kong's Ming Pao.","But he has never held the office of President throughout his entire life. In response to this question, he gave an interesting answer at a later meeting with the founder of the Hong Kong newspaper ""Ming Pao,"" Cha Liangyong (Jin Yong).","However, he never held the presidency of a country throughout his life. In this regard, he gave an interesting response in a later interview with Cha Liangyong (Jin Yong), the founder of Ming Pao newspaper in Hong Kong.","But he never became the chairman of the country throughout his entire life. He gave an interesting answer to this question when he later met with the founder of the Hong Kong newspaper ""Ming Pao,"" Zhao Lianyong (Jin Yong).","However, he never held the office of President of the State throughout his life. Regarding this topic, he later gave an interesting answer in a conversation with Zhang Liangyong, the founder of the Hong Kong newspaper ""Ming Pao.""","However, he never became the Chairman of the State even once in his lifetime. In response to this question, he later provided an interesting answer during a meeting with Zhang Liangyong (Jin Yong), the founder of the Hong Kong newspaper ""Ming Pao."""
Jin Yong on Deng Xiaoping: He is Guo Jing.,Jin Yong saw Deng Xiaoping: He is Guo Jing.,Jin Yong on Deng Xiaoping: He is Guojing.,Jin Yong sees Deng Xiaoping like this: He is Guo Jing.,Ding Yun on Deng Xiaoping: he is like Guo Jing.,Jin Yong sees Deng Xiaoping: He is Guo Jing.,Jin Yong views Deng Xiaoping: he is Guo Jing.
"It is well known that Jin Yong is a renowned martial arts novelist both at home and abroad. He created many heroic figures with his pen, among which Guo Jing from ""The Legend of the Condor Heroes"" is one of them. In Jin Yong's eyes, Deng Xiaoping is akin to a Guo Jing-type character.","As widely known, Jin Yong is a renowned wuxia novelist both domestically and internationally. With a single pen, he created many heroic knights. Among them, Guo Jing from ""The Legend of the Condor Heroes"" is one such character. In Jin Yong's eyes, Deng Xiaoping is a person similar to Guo Jing.","It is widely known that Jin Yong is a world-renowned Wuxia novelist. With his pen, he has created many heroic characters, including Guo Jing from ""The Legend of the Eagle Heroes."" In Jin Yong's eyes, Deng Xiaoping is a figure who resembles Guo Jing.","As everyone knows, Jin Yong is an internationally recognized wuxia novel writer. With his pen, he created many great champions like various heroes. One of them is Guo Jing from the novel ""The Legend of the Condor Heroes"" (She Diao Ying Xiong Zhuan). In Jin Yong's view, Deng Xiaoping is also a character in the style of Guo Jing.","As is well known, Jin Yong is a famous writer in the wuxia genre, who created many heroic characters with his pen. One of them is Guo Jing from the novel ""The Arrow and the Hawk,"" and in Jin Yong's eyes, Deng Xiaoping is a character similar to Guo Jing.","As everyone knows, Jin Yong is an internationally renowned Wuxia author who has created many heroic Wuxia characters with a single pen. Among them, Guo Jing from ""The Legend of the Eagle Warriors"" is one of the most well-known. For Jin Yong, Deng Xiaoping is a person like Guo Jing.","As is generally known, Jin Yong is an internationally famous writer of martial arts novels, and he has created many heroic characters through his writings. One of them is Guo Jing, who appears in ""The Legend of the Eagle Shooting Hero."" In Jin Yong's view, Deng Xiaoping is a character similar to Guo Jing."
"The article ""Why was Jin Yong the First Hong Kong Compatriot Deng Xiaoping Met in the New Era?"" (written by Wu Yuenong) published in the 7th issue of ""Party History Overview"" in 2004 records that during the Cultural Revolution, Deng Xiaoping was exiled to the countryside in Jiangxi.","The article titled ""Why was it Jin Yong that Deng Xiaoping first met with the compatriots in Hong Kong in the New Era?"" (Author: Wu Yuenong) published in the 2004 seventh issue of ""Party History Overview"" states that during the Cultural Revolution, Deng Xiaoping was exiled to the rural areas of Jiangxi.","The article ""Why did Deng Xiaoping first meet Hong Kong compatriot Jin Yong during the new era?"" (by Wu Yuenong) in the 7/2004 issue of ""The History of the Party"" reports that Deng Xiaoping was exiled to rural Jiangxi during the Cultural Revolution.","In the article ""Why Did Deng Xiaoping's First Guest from Hong Kong Become Jin Yong?"" (Author: Wu Yuenong) published in the magazine ""Depths of Party History"" (2004, Issue 7), it is written: During the Cultural Revolution, Deng Xiaoping was exiled to the rural areas of Jiangxi.","In the article ""Why Was the First Person to Meet Deng Xiaoping in the New Era Gim Yong?"" from the magazine ""History of the Party as a Whole"" (No. 7 for 2004) (author Wu Yuenong), it is mentioned that during the Cultural Revolution, Deng Xiaoping was exiled to the countryside of Jiangxi Province.","The article ""Why Was Jin Yong the First Hongkonger That Deng Xiaoping Met in the New Era?"" (Wu Yuenong) from the 7/2004 issue of ""Party History Overview"" states that Deng Xiaoping was exiled to a village in Jiangxi during the Cultural Revolution.","In issue number 7 of ""Das Panorama der Parteigeschichte"" (2004), there is an article titled ""Why was Jin Yong the first Hong Kong person Deng Xiaoping met in the new era?"" (Author: Wu Yuanong), which mentions that Deng Xiaoping was exiled to the rural Jiangxi Province during the Cultural Revolution."
"Jin Yong spoke out for Deng Xiaoping in the Ming Pao, strongly criticizing the irrationality of the Cultural Revolution, and continually supported Peng Dehuai and others. He praised the ""Four Modernizations"" advocated by Zhou Enlai.","Jin Yong defended Deng Xiaoping in the Ming Pao newspaper, strongly criticized the irrationality of the Cultural Revolution, continued to support figures like Peng Dehuai, and praised Zhou Enlai's proposal of the ""Four Modernizations.""","Jin Yong advocates for Deng Xiaoping in the Ming Pao, sharply criticizes the irrationality of the Cultural Revolution, and consistently supports Peng Dehuai and others. He praises the ""four modernizations"" called for by Zhou Enlai.","Jin Yong strongly criticized the absurdity of the Cultural Revolution by defending Deng Xiaoping's rights in the Ming Pao newspaper, continuously supporting figures like Peng Dehuai, and praised the ""Four Modernizations"" advocated by Zhou Enlai.","Jin Yun in ""Min Bao"" defended Deng Xiaoping, sharply criticized the groundlessness of the Cultural Revolution, and consistently supported Peng Dehuai and others, praising the ""Four Modernizations"" promoted by Zhou Enlai.","Jin Yong expressed his dissatisfaction with Deng Xiaoping in Ming Bao, sharply criticized the irrationality of the Cultural Revolution, continued to support figures like Peng Dehuai, and praised the ""Four Modernizations"" proposed by Zhou Enlai.","Jin Yong mentioned the injustices against Deng Xiaoping in the Ming Pao newspaper, harshly criticized the absurdities of the Cultural Revolution, and continuously supported figures like Peng Dehuai. He also praised the ""Four Modernizations"" promoted by Zhou Enlai."
"As a result, he became the number one reactionary intellectual in Hong Kong in the eyes of Lin Biao and the ""Gang of Four.""","As a result, he became the leading reactionary intellectual in Hong Kong for Lin Biao and the ""Gang of Four.""","Thus, he became the leading reactionary intellectual in Hong Kong in the eyes of Lin Biao and the ""Gang of Four.""","As a result, he became the number one reactionary intellectual in Hong Kong in the eyes of Lin Biao and the ""Gang of Four.""","Thus, he became the main reactionary intellectual in the eyes of Lin Biao and the ""Gang of Four.""","This made him a top-class reactionary intellectual for Lin Biao and the ""Gang of Four"" in Hong Kong.","As a result, he was regarded as a major enemy among the literary intellectuals in Hong Kong in the eyes of Lin Biao and the ""Gang of Four."""
"Despite Deng Xiaoping's ups and downs in his political career after 1949, the columnist Jin Yong accurately predicted that Deng would ""make a comeback.""","Deng Xiaoping experienced political turmoil after 1949, but the critic Jin Yong confidently predicted that Deng Xiaoping would ""make a comeback.""","Although Deng Xiaoping experienced highs and lows in politics after 1949, the commentator Jin Yong correctly predicted that Deng Xiaoping would ""make a comeback.""","Although Deng Xiaoping's political journey after 1949 was full of ups and downs, as a commentator, Jin Yong had definitively predicted that Deng Xiaoping would ""turn east.""","Despite the fact that Deng Xiaoping's political career experienced both ups and downs after 1949, the well-known critic Jin Yun accurately predicted that Deng Xiaoping would be able to ""rise from the ashes.""","Deng Xiaoping had many ups and downs in politics after 1949, but the commentator Jin Yong accurately predicted that he would ""regain his glory.""","Despite Deng Xiaoping's political ups and downs after 1949, the critic Jin Yong accurately predicted that Deng Xiaoping would ""rise again."""
"In the spring of 1976, Deng Xiaoping was once again pushed out of the political arena.","In the spring of 1976, Deng Xiaoping was once again expelled from politics.","In the spring of 1976, Deng Xiaoping was once again removed from politics.","In the spring of 1976, Deng Xiaoping was once again removed from politics.","In the spring of 1976, Deng Xiaoping was once again ousted from politics.","In the spring of 1976, Deng Xiaoping was once again excluded from politics.","In the spring of 1976, Deng Xiaoping was once again expelled from the political stage."
Jin Yong predicted in an editorial that Deng Xiaoping would soon return to the center stage of power.,Jin Yong predicted in an editorial that Deng Xiaoping would soon return to the stage of power.,Jin Yong predicted in a comment that Deng Xiaoping would soon return to the center of power.,Jin Yong predicted in his column that Deng Xiaoping would return to the political stage in a short time.,Jin Yung predicted in his editorial that Deng Xiaoping would soon return to the center of political power.,Jin Yong said in a review that Deng Xiaoping would soon return to the center of power.,Jin Yong predicted in his comments that Deng Xiaoping would soon return to the center of power.
This prediction was confirmed a year later.,This prediction was confirmed one year later.,This prediction was confirmed a year later.,This prediction was confirmed a year later.,This forecast was confirmed a year later.,This forecast was confirmed a year later.,This prediction was confirmed a year later.
"In this regard, Jin Yong once said: ""My imagination actually represents the wishes of the majority of Chinese people. Since it is the will of the people, it can probably be achieved.""","Regarding this, Jin Yong said the following: ""My imagination actually represents the wishes of many people in China. If that is the desire of everyone, perhaps the matter can be realized.""","Jin Yong said: ""My vision truly represents the wishes of the majority of the Chinese people. Since it is the will of the people, it can probably be realized.""","In response, Jin Yong said: ""My dreams actually represent the desires of most people in China; if this is a public wish, it is likely that this job can be accomplished.""","Regarding this, Jin Yun said: ""My imagination actually represents the desires of the majority of Chinese people. If this is the desire of the majority, then it is likely that the matter can be realized.""","Jin Yong said about this: ""My vision actually represents the desire of the majority of people in China. If it is the desire of many people, then it will likely be able to be realized.""","Concerning this, Jin Yong said, ""My thoughts actually represent the wishes of a majority of the Chinese people. If it is the desire of the masses, then it is probably achievable."""
"Choose Jin Yong as the ""messenger.""","Choosing Jin Yong as a ""legendary figure.""","Select Jin Yong as the ""Deliverer.""","To choose Jin Yong as a ""messenger.""","Choosing Jin Yong as a ""transmitter""","I choose Jin Yong as the ""messenger.""","I will choose Jin Yong as the ""messenger."""
"After the Third Plenary Session of the 11th Central Committee, China began to implement the policy of reform and opening up. Many notable figures from overseas received invitations to visit the mainland.","After the 11th Central Committee's 3rd Plenary Session, China began to promote its reform and opening-up policy, and several prominent foreign figures were invited to visit the mainland one after another.","After the third plenary session of the eleventh Central Committee, China began to implement the policy of reform and opening up. Some well-known personalities from abroad were invited to visit the mainland.","After the Eleventh Session of the Third Plenary Period, China began to implement its reform and opening-up policies, and some famous individuals from abroad started to receive invitations to visit the mainland.","After the Third Plenary Session of the Eleventh Congress of the Communist Party of China, China began to implement the policy of reform and opening up, and some well-known foreign figures were invited to visit mainland China.","After the 11th Plenary Session of the 3rd Central Committee, China promoted the reform and opening-up policy, and many prominent individuals from abroad were invited to visit the mainland.","After the third plenary session of the 11th Central Committee, China implemented the policy of reform and opening up, inviting many prominent foreigners to visit the mainland."
"In 1981, Jin Yong also received an invitation from Beijing. He asked the inviting party: Could he visit Mr. Deng Xiaoping during his trip?","In 1981, Jin Yong received an invitation from Beijing and proposed the following to the hosts: ""Can I visit Deng Xiaoping during my stay?""","In 1981, Jin Yong received an invitation from Beijing. He asked the hosts: Could he meet Mr. Deng Xiaoping during his visit?","In 1981, Jin Yong received an invitation from Beijing and asked the inviting party: Is there an opportunity to visit Deng Xiaoping during the stay?","In 1981, Jin Yun also received an invitation from Beijing and asked the inviting party whether it would be possible to meet with Mr. Deng Xiaoping during the visit.","In 1981, Jin Yong received an invitation from Beijing and asked the host: ""Would it be possible to meet Mr. Deng Xiaoping during my visit?""","In 1981, Jin Yong received an invitation from Beijing. He inquired with the issuer of the invitation whether it would be possible to meet with Deng Xiaoping during his visit."
"Deng Xiaoping had long heard of Jin Yong. He once asked someone to buy a set of Jin Yong's novels from abroad, and he was very fond of them.","Deng Xiaoping had heard about Jin Yong for a long time, and he once asked someone to purchase a complete set of Jin Yong's novels from abroad, as he was so fond of them that he couldn’t let them go.",Deng Xiaoping had already heard of Jin Yong. He had someone abroad purchase a collection of Jin Yong's novels for him and couldn't get enough of them.,Deng Xiaoping had heard of Jin Yong before. He had someone abroad buy a set of Jin Yong's novels and had not let go of them since.,Deng Xiaoping had long heard of Jin Yong; he even instructed someone to buy a set of Jin Yong's novels from abroad and was thrilled by what he read.,"Deng Xiaoping had already heard of Jin Yong before, and he once had a complete collection of Jin Yong's novels purchased from abroad, which he loved so much that he did not want to part with them.","Deng Xiaoping had already heard about Jin Yong. He asked someone to buy a set of Jin Yong's novels from abroad, and he couldn't let it go."
"At that time, the Sixth Plenary Session of the 11th Central Committee (from June 27 to 29, 1981) passed the ""Resolution on Some Historical Issues of the Party Since the Founding of the Country"" (drafted under the leadership of Deng Xiaoping), which shifted the Party's focus to economic development. At the same time, the peaceful reunification of the motherland also became an official topic.","At that time, during the 11th Plenary Session of the 11th Central Committee (from June 27 to 29, 1981), the ""Resolution on Certain Historical Issues of the Party Since the Founding of the Country"" (drafted by Deng Xiaoping) was passed, shifting the focus of the Party's work to economic construction. At the same time, the peaceful unification of the motherland also became an official agenda item.","At that time, the 6th Plenary Session of the 11th Central Committee (from June 27 to 29, 1981) passed the ""Resolution on Certain Historical Questions of the Party since the Founding of the Country"" (drafted under the leadership of Deng Xiaoping), which shifted the focus of the Party's work towards economic development. At the same time, the peaceful reunification of the country became an official topic.","At that time, the 6th Plenary Session of the 11th Party Congress (June 27-29, 1981) accepted the decision on ""Certain Historical Issues of the Party since Its Establishment"" (a draft led by Deng Xiaoping), shifting the focus of party work towards economic construction; at the same time, the peaceful unification of the homeland also became an official agenda item.","At that time, the VI Plenary Session of the XI Congress (from June 27 to 29, 1981) adopted the ""Resolution on Certain Historical Issues of the Party Since the Founding of the Country"" (chaired by Deng Xiaoping for the preparation of the text), in which the focus of the party's work was shifted to economic development; at the same time, the issue of peaceful reunification of the country became an official topic.","At that time, the eleventh plenary session of the Central Committee (from June 27 to 29, 1981) adopted a resolution on some historical questions regarding the party since the founding of the state (initiated by Deng Xiaoping), and the focus of party work shifted to economic development. At the same time, the peaceful reunification of the homeland was also officially put on the agenda.","During this period, the Third Plenary Session of the 11th Central Committee, held from June 27 to 29, 1981, adopted the ""Resolution on Certain Historical Issues of the Party Since the Founding of the Nation"" (drafted under the leadership of Deng Xiaoping) and shifted the party's focus to economic construction. At the same time, the peaceful reunification of the motherland became an official theme."
Deng Xiaoping's meeting with Jin Yong could convey new messages from the Chinese Communist Party regarding its Taiwan policy to both domestic and international audiences.,"By meeting with Jin Yong, Deng Xiaoping can convey information about the Chinese Communist Party's new policy towards Taiwan both domestically and internationally.",Deng Xiaoping met with Jin Yong to communicate new information about the Chinese Communist Party's Taiwan policy to the public both domestically and internationally.,"Deng Xiaoping met with Jin Yong, which can convey the new initiatives of the Chinese Communist Party regarding Taiwan to both domestic and foreign audiences.","Deng Xiaoping met with Jing Yongzhong, which may convey new information about the CPC's work on Taiwan issues both domestically and abroad.","Through the meeting between Deng Xiaoping and Jin Yong, the Communist Party of China can disseminate information about its new policy towards Taiwan both domestically and internationally.",The meeting between Deng Xiaoping and Jin Yong can disseminate new information regarding the Chinese Communist Party's Taiwan policy both domestically and internationally.
"In Deng Xiaoping's view, Jin Yong was an excellent communicator between the two sides of the Taiwan Strait.","For Deng Xiaoping, Jin Yong is a wonderful mediator between the two sides of the Taiwan Strait.","According to Deng Xiaoping, Jin Yong was an excellent communicator between the two sides of the strait.","According to Deng Xiaoping, Jin Yong was a perfect communicator between the two sides.","From Deng Xiaoping's point of view, Jin Yong is an excellent intermediary between the two shores.","According to Deng Xiaoping, Jin Yong is an outstanding mediator between the two shores.","According to Deng Xiaoping's perspective, war was a superior means of communication between the two parties on the opposite shore."
"Because he has a profound foundation in traditional culture, he has influence in the Chinese-speaking world.","He has a strong foundation in deep traditional culture, which gives him influence in the world of Chinese people.","Because he has profound traditional cultural roots, he has a strong appeal in the Chinese world.",Because it has a deep traditional cultural foundation and an impressive personality in the Chinese world.,"Since he has deep roots in traditional culture, he holds influence in the Chinese world.",He has a deeply rooted traditional culture and is influential in the world of the Chinese.,"He has traditions that are deeply rooted in culture, which gives him influence in the Chinese world."
"In addition, Jin Yong had considerable interactions with Taiwan: in the spring of 1973, he was invited to Taiwan, and although the ill Chiang Kai-shek did not meet with him, Chiang Ching-kuo engaged him in a deep discussion about current political affairs.","Additionally, Jin Yong frequently interacted with Taiwan. In the spring of 1973, he visited Taiwan at the invitation of others; although he could not meet the ailing Chiang Kai-shek, he had a deep discussion about political matters with Chiang Ching-kuo.","In addition, Jin Yong also had numerous contacts with Taiwan: In the spring of 1973, he was invited to visit Taiwan. Although the seriously ill Chiang Kai-shek was unable to meet him, Chiang Ching-kuo engaged in extensive discussions with him about current politics and national affairs.","Additionally, Jin Yong had a considerable relationship with Taiwan as well: in the spring of 1973, Jin Yong went to Taiwan at the invitation of others. The ailing Chiang Kai-shek was unable to see him, but Chiang Ching-kuo had a deep conversation about political matters with him.","In addition, Jin Yun maintained quite active relations with Taiwan: in the spring of 1973, he was a guest in Taiwan, although the seriously ill Chiang Kai-shek did not meet with him, but Chiang Ching-kuo had a deep conversation with him on issues of politics and state governance.","Furthermore, Jin Yong had significant connections to Taiwan. In the spring of 1973, he was invited to visit Taiwan. Although he could not meet Chiang Kai-shek, who was bedridden, he had in-depth discussions about political issues with Chiang Ching-kuo.","Furthermore, Jin Yong had many connections with the Taiwanese side. In the spring of 1973, he was invited to Taiwan. Although he could not meet with the seriously ill Chiang Kai-shek, he had deep discussions about the current political issues with Chiang Ching-kuo."
"After Deng Xiaoping resumed work, the Communist Party of China had invited Jin Yong to visit the mainland. When Jin Yong expressed his desire to meet with Deng Xiaoping, the report was quickly sent to Deng Xiaoping, who promptly marked on the report: ""I would like to meet Mr. Cha.""","After Deng Xiaoping returned to work, the Chinese Communist Party invited Jin Yong to visit the mainland. The report that Jin Yong wanted to meet Deng Xiaoping was quickly sent to him, and he responded with the instruction, ""I want to meet Mr. Jin.""","After Deng Xiaoping resumed work, the Communist Party of China invited Jin Yong to visit the mainland. When Jin Yong expressed his desire to meet Deng Xiaoping, this report was quickly forwarded to Deng Xiaoping, who then noted on the report: ""I am willing to meet Mr. Zha.""","After Deng Xiaoping returned to power, the Chinese Communist Party invited Jin Yong to mainland China. During this time, a report about Jin Yong wanting to meet with Deng Xiaoping quickly reached him. Deng Xiaoping immediately noted the following on the report: ""I would like to meet Mr. Zha.""","After Deng Xiaoping returned to work, the Communist Party of China invited Jin Yung to visit mainland China. Shortly after Jin Yung expressed his desire to meet with Deng Xiaoping, a report was quickly sent to Deng Xiaoping, who soon noted in the report: ""I wish to meet Mr. Zhao.""","After Deng Xiaoping returned to work, the Communist Party of China proposed to invite Jin Yong to the mainland. The news that Jin Yong wanted to meet Deng Xiaoping quickly reached Deng Xiaoping, and he gave the order: ""I would like to meet Mr. Cha.""","After Deng Xiaoping returned to work, the Chinese Communist Party invited Jin Yong to visit the mainland. When Jin Yong expressed his desire to meet Deng Xiaoping, this report was quickly conveyed to Deng Xiaoping, who noted, ""I would like to meet Mr. Cha."""
Being the President of the country is very demanding.,Being the President of the country takes a lot of energy.,The duties of the president are too demanding.,Being the president requires a lot of energy.,Being the president of a country takes a lot of effort.,The office of the President of the State is a very energy-consuming task.,The duties of the president are very demanding.
"On July 18, 1981, Deng Xiaoping met with Jin Yong (as depicted in the photo) at the Fujian Hall of the Beijing Great Hall of the People. This was also the first Hong Kong figure he met after returning to a leadership position.","On July 18, 1981, Deng Xiaoping met with Jin Yong at the Fujian Hall of the Great Hall of the People in Beijing (see photo). This was also the first time he met a person from Hong Kong since he regained his position as a leader.","On July 18, 1981, Deng Xiaoping met Jin Yong (see picture) in the Fujian Hall of the Great Hall of the People in Beijing. This was also the first person from Hong Kong that he met after returning to a leadership position.","On July 18, 1981, Deng Xiaoping met with Jin Yong in the Fujian Hall of the Great Hall of the People in Beijing (see photo). This was the first person from Hong Kong he met after returning to a leadership position.","On July 18, 1981, Deng Xiaoping met with Jin Yong in the Fujian Hall of the Beijing People's Great Hall, marking his first meeting with a representative from Hong Kong after returning to leadership positions.","On July 18, 1981, Deng Xiaoping met Jin Yong in the Fujian Hall of the People's Committee in Beijing (see photo). This was the first person from Hong Kong he met since he was appointed back to a leadership position.","On July 18, 1981, Deng Xiaoping met with Jin Yong at the Fujian Hall of the Great Hall of the People in Beijing (see photo). This was also the first time he had met a person from Hong Kong since his return."
The two people started by expressing their admiration for each other.,The two of them first expressed their feelings of admiration for each other.,The two immediately began to express their admiration for each other.,Two people initially expressed their admiration for each other.,Two people exchanged feelings of admiration for each other from the very beginning.,The two initially shared their feelings.,The two of them quickly began to express their admiration for each other.
"Deng Xiaoping said: ""Welcome back, Mr. Cha! I have read your novel, and we are already old friends.""","Deng Xiaoping said: ""I welcome you back, Chasan, to take a walk! I've read your novel, so we are already old friends.""","Deng Xiaoping said: ""Welcome back, Mr. Cha! I have read your novel, we are already old friends.""","Deng Xiaoping said: ""Mr. Cha, we are waiting for your return! I have read your novel, we are now old friends.""","Deng Xiaoping said: ""Welcome back, Mr. Cha! I have read your novel; we are already old friends.""","Deng Xiaoping said: ""I warmly welcome Chao back and to take a walk! I have read your novel, so we are already old friends.""","Deng Xiaoping said, ""Welcome back, Cha! I have read your novel. We are already long-time friends, aren't we?"""
"Jin Yong said, ""I have always admired you, Mr. Deng. It is a great honor to meet you today!""","Jin Yong said: ""I have always respected Mr. Deng, and it is a great honor to meet you today!""","Jin Yong said: ""I have always had great respect for you, Mr. Deng. It is a great honor for me to meet you today!""","Jin Yong said: ""I have always admired Mr. Deng, and I am very happy to see you today!""","Jin Yun said, ""I have always admired you, Mr. Deng. It is a great honor for me to meet you today!""","Jin Yong said: ""I have had great respect for Mr. Deng for a long time. It is a great honor for me to meet you today!""","Jin Yong said: ""I have always had great respect for you, Mr. Deng. It is a great honor to meet you today!"""
"Deng Xiaoping replied: ""As for Mr. Cha, I have known him for a long time!""","Deng Xiaoping said: ""I have known Mr. Zhao for a long time!""","Deng Xiaoping replied: ""I have known Mr. Zhao for a long time too!""","Deng Xiaoping replied: ""I have been aware of Mr. Cha for a long time!""","Deng Xiaoping replied, ""As for Mr. Zhao, I have known him for a long time too!""","Deng Xiaoping said, ""I have known about Mr. Cha for a long time!""","Deng Xiaoping replied, ""As for Mr. Cha, I have known him for a long time!"""
"Soon, the two began to discuss some sharp issues.","Immediately, the two began a discussion about a sharp issue.","Soon, the two began to discuss some sensitive topics.","In a short period of time, two people began to discuss some tough issues.","Soon, the two began discussing some pressing issues.","In no time, the two began a discussion about pressing issues.",Two of them began to discuss some subtle issues.
"Deng Xiaoping said: ""After the Sixth Plenary Session of the 11th Central Committee, there are three major tasks: first, to oppose hegemony and maintain world peace internationally; second, to complete the great cause of national reunification; third, to promote economic development.""","Deng Xiaoping said: ""After the sixth plenary session of the 11th Central Committee, there are still three important tasks. One is to oppose hegemonism internationally and maintain world peace; the second is to complete the unification of the motherland; and the third is to successfully advance economic construction.""","Deng Xiaoping said: ""After the Sixth Plenary Session of the Eleventh Central Committee, there are still three major tasks: First, to fight against hegemony internationally and to maintain world peace; second, to complete national reunification; third, to manage economic development well.""","Deng Xiaoping said: ""After the Sixth Plenary of the Eleventh Central Committee, there are still three major issues: First, to oppose hegemony in the international arena and to maintain world peace; second, to complete the task of the reunification of the motherland; and third, to carry out economic development effectively.""","Deng Xiaoping said: ""After the Sixth Plenary Session of the Eleventh Central Committee, there are still three major tasks: first, to oppose hegemony on the international stage and safeguard peace worldwide; second, to complete the task of reunifying the motherland; third, to focus on economic construction.""","Deng Xiaoping said: ""After the 11th Plenary Session of the Central Committee, there are three important things. First, it is important to fight against hegemonism internationally and to maintain peace in the world; second, it is crucial to complete the national unity movement; third, we must promote economic development.""","Deng Xiaoping said: ""After the Sixth Plenary Session of the Twelfth Central Committee, there are still three important tasks. First, to counter hegemony within the international framework and safeguard world peace. Second, to complete national reunification. Third, to promote economic development."""
"Jin Yong said: ""I believe that in the matter of national reunification, the economic development of the mainland and the improvement of people's living standards are the most fundamental factors.""","Jin Yong said: ""I believe that the most fundamental factors regarding national unity are the economic development of the mainland and the improvement of the living standards of the people.""","Jin Yong said, ""I believe that the economic development of the mainland and the improvement of people's living standards are the fundamental factors for national unity.""","Jin Yong said: ""In the matter of national unity, the economic development of the mainland and the improvement of the people's living standards are the most fundamental factors.""","Jin Yun said: ""I believe that the main factors in the issue of national reunification are the economic development of the mainland and the improvement of the living standards of the people.""","Jin Yong said: ""Regarding the unity of the country, I believe that the economic development of Taiwan and the improvement of the population's living standards are the fundamental elements.""","Jin Yong said: ""I believe that the economic development of the Chinese mainland and the improvement of people's living standards are the most fundamental elements for the unification of the nation."""
"Deng Xiaoping expressed his agreement: ""Among the three major issues, the country's economic construction is the most important. If our economic construction develops well, the other two issues will have a foundation. Economic construction is fundamental, and the current economy needs adjustment.""","Deng Xiaoping agreed: ""Among the three major tasks, the construction of the national economy is the most important. If our economic construction progresses well, the foundations for the other two tasks will also be established. Economic construction is fundamental. The current economy needs adjustments.""","Deng Xiaoping expressed his agreement: ""Of the three major issues, the economic development of the country is the most important. If our economic development progresses well, the other two issues will have a foundation. Economic development is fundamental, and the current economy must be adjusted.""","Deng Xiaoping said, ""Of the three major issues, the economic construction of the country is the most important. When our economic construction develops well, it creates a foundation for the other two issues. Economic construction is the foundation; the current economy needs adjustment.""","Deng Xiaoping expressed agreement: ""Of the three major tasks, the most important is the development of the country's economy. If our economic construction is successful, it will provide a foundation for the other two tasks. Economic construction is fundamental; at present, the economy needs to be adjusted.""","Deng Xiaoping expressed his agreement. ""Among the three important matters, the economic development of the country is the most important. If our economic development progresses well, it will also lay the foundation for the other two matters. Economic development is fundamental, and the current economy requires adjustments.""","Deng Xiaoping expressed his agreement: ""Among the three major tasks, the construction of the national economy is the most important. If our economic construction proceeds smoothly, the other two tasks will form the foundation. Economic construction is fundamental, and the current economy needs adjustment."""
"Subsequently, the two discussed the personnel changes from the Sixth Plenary Session of the Eleventh Central Committee.","After that, the two continued to discuss the personnel changes of the 6th Central Committee of the 11th term.","Subsequently, the two continued to discuss the personnel changes of the 6th Plenary Session of the 11th Central Committee.","After that, two people discussed the personnel changes related to the 11th Term 6th Plenary further.",Then two people continued to discuss personnel changes at the Sixth Plenary Session of the Eleventh Convocation.,"After that, the two continued to discuss the personnel changes of the 6th Plenary Session of the 11th Central Committee.","After that, the two discussed further the personnel changes that took place during the 6th Plenary Session of the 11th Central Committee."
